T,G,B,D,lamda,lamda_D,gamma,gamma_D
49357.96467,352.060,0.81320,4.50e-06,1.69,0.000000,-0.028,0.0000000
50045.52933,1039.62,0.79930,4.20e-06,1.70,0.000000,-0.026,0.0000000
50710.68567,1704.78,0.78600,5.80e-06,1.69,0.000000,-0.029,0.0000000
51351.93933,2346.03,0.77050,5.20e-06,1.70,0.000000,-0.026,0.0000000
51969.43067,2963.51,0.75270,1.40e-06,1.72,0.000000,-0.024,0.0000000
52560.93867,3555.00,0.73770,5.80e-06,1.75,0.000000,-0.022,0.0000000
53122.65433,4116.69,0.71870,5.00e-06,1.79,0.000000,-0.021,0.0000000
53655.95433,4649.97,0.70100,8.60e-06,1.82,0.000000,-0.021,0.0000000
54156.21633,5150.17,0.67700,6.70e-06,1.91,0.000000,-0.023,0.0000000
54622.50100,5616.37,0.65140,6.30e-06,2.04,0.000000,-0.021,-2.20e-05
55051.16100,6044.97,0.62630,9.90e-06,2.10,0.000000,-0.041,0.0000000
55439.23467,6433.00,0.59560,9.40e-06,2.17,0.000000,-0.038,0.0000000
55704.58400,6698.20,0.56260,1.37e-05,2.37,0.000000,-0.054,-2.40e-05
56085.35733,7078.85,0.52420,1.63e-05,2.51,0.000000,-0.084,-2.60e-05
56340.41933,7333.68,0.48319,2.08e-05,2.81,1.90e-04,-0.116,-3.90e-05
56550.62400,7543.51,0.43910,2.54e-05,3.30,3.10e-04,-0.164,-6.60e-05
56719.62100,7711.89,0.39340,3.08e-05,4.11,3.30e-04,-0.241,-8.10e-05
56852.45133,7843.90,0.34570,3.34e-05,5.18,0.000000,-0.348,0.0000000
