T,G,B,D,H,lamda,lamda_D,lamda_H,lamda_L,gamma,gamma_D,gamma_H
0.0,787.0768981385,1.437676035720,4.84057450e-6,9.655e-14,1.98475142368,3.89227660000e-6,8.8535e-12,7.223e-16,-0.008425375759,-1.6261206e-8,-3.7688e-14
0.0,2343.466342865,1.421865836160,4.84136115e-6,3.790e-13,1.98958040780,4.18600200000e-6,8.8535e-12,7.223e-16,-0.008445824185,-1.6261206e-8,-3.7688e-14
0.0,3876.334352822,1.406119872070,4.84016433e-6,6.615e-13,1.99463074468,3.87934320000e-6,8.8535e-12,7.223e-16,-0.008466272611,-1.6261206e-8,-3.7688e-14
0.0,5385.861447181,1.390423979070,4.83793438e-6,9.440e-13,1.99920969270,2.97230040000e-6,8.8535e-12,7.223e-16,-0.008486721036,-1.6261206e-8,-3.7688e-14
0.0,6872.209042662,1.374767848020,4.83562169e-6,1.226e-12,2.00281000751,1.46487336000e-6,8.8535e-12,7.223e-16,-0.008507169462,-1.6261206e-8,-3.7688e-14
0.0,8335.519168407,1.359144185810,4.83417660e-6,1.509e-12,2.00510994202,-6.4293784000e-7,8.8535e-12,7.223e-16,-0.008527617888,-1.6261206e-8,-3.7688e-14
0.0,9775.913860209,1.343547876270,4.83454948e-6,1.791e-12,2.00597324641,-3.3511332000e-6,8.8535e-12,7.223e-16,-0.008548066314,-1.6261206e-8,-3.7688e-14
0.0,11193.49423410,1.327975140930,4.83769068e-6,2.074e-12,2.00544916810,-6.6597126000e-6,8.8535e-12,7.223e-16,-0.008568514739,-1.6261206e-8,-3.7688e-14
0.0,12588.33923929,1.312422699940,4.84455058e-6,2.356e-12,2.00377245180,-0.0000105686764,8.8535e-12,7.223e-16,-0.008588963165,-1.6261206e-8,-3.7688e-14
0.0,13960.50409046,1.296886932820,4.85607952e-6,2.639e-12,2.00136333947,-0.0000150780242,8.8535e-12,7.223e-16,-0.008609411591,-1.6261206e-8,-3.7688e-14
0.0,15310.01837940,1.281363039370,4.87322787e-6,2.921e-12,1.99882757033,-0.0000201877560,8.8535e-12,7.223e-16,-0.008629860017,-1.6261206e-8,-3.7688e-14
0.0,16636.88386600,1.265844200450,4.89694600e-6,3.203e-12,1.99695638089,-0.0000258978720,8.8535e-12,7.223e-16,-0.008650308442,-1.6261206e-8,-3.7688e-14
0.0,17941.07194864,1.250320738870,4.92818426e-6,3.486e-12,1.99672650488,-0.0000322083720,8.8535e-12,7.223e-16,-0.008670756868,-1.6261206e-8,-3.7688e-14
