wavenumbers intensities
12247.5786 1.0
12240.1645 1.0
12249.3832 1.0
12237.4913 1.0
12250.8542 1.0
12242.4831 1.0
12060.6930 1.0
12234.1918 1.0
12251.5147 1.0
12227.6288 1.0
12241.3607 1.0
12230.6560 1.0
12251.9400 1.0
12222.2695 1.0
12239.8713 1.0
12074.8573 1.0
12062.7833 1.0
12226.2263 1.0
12251.3879 1.0
12216.0735 1.0
12237.4913 1.0
12074.1879 1.0
12038.8736 1.0
12060.2983 1.0
12221.6290 1.0
12250.7191 1.0
12209.5633 1.0
12234.8729 1.0
12044.0896 1.0
12073.1889 1.0
12032.0322 1.0
12057.3287 1.0
12215.9934 1.0
12248.9469 1.0
12202.0988 1.0
12231.2581 1.0
12038.3099 1.0
12071.2625 1.0
12024.4301 1.0
12053.5785 1.0
12210.3105 1.0
12247.1734 1.0
12194.4629 1.0
12227.5155 1.0
12032.2073 1.0
12069.0643 1.0
12016.3586 1.0
12049.3982 1.0
12203.4539 1.0
12244.1626 1.0
12185.7659 1.0
12222.6519 1.0
12025.1639 1.0
12065.8705 1.0
12007.4708 1.0
12044.3548 1.0
12196.6744 1.0
12241.2856 1.0
12177.0228 1.0
12217.7980 1.0
12017.8513 1.0
12062.4664 1.0
11998.1892 1.0
12038.9770 1.0
12188.5938 1.0
12237.0393 1.0
12167.0896 1.0
12211.7128 1.0
12009.5455 1.0
12057.9905 1.0
11988.0543 1.0
12032.6693 1.0
12180.7039 1.0
12233.0460 1.0
12157.2263 1.0
12205.7355 1.0
12001.0387 1.0
12053.3693 1.0
11977.5537 1.0
12026.0612 1.0
12171.3949 1.0
12227.5656 1.0
12146.0656 1.0
12198.4121 1.0
11991.4616 1.0
12047.6270 1.0
11966.1366 1.0
12018.4851 1.0
12162.4070 1.0
12222.4612 1.0
12135.0875 1.0
12191.3219 1.0
11981.7599 1.0
12041.8064 1.0
12010.6630 1.0
12151.8659 1.0
12215.7316 1.0
12122.7138 1.0
12182.7657 1.0
12034.7818 1.0
12001.8169 1.0
12141.7686 1.0
12209.5166 1.0
12110.6289 1.0
12174.5521 1.0
12027.7507 1.0
11992.7908 1.0
12129.9922 1.0
12201.5443 1.0
12097.0382 1.0
12164.7587 1.0
12019.4474 1.0
11982.6705 1.0
12118.8058 1.0
12194.2077 1.0
12083.8439 1.0
12155.4317 1.0
12011.2134 1.0
11972.4369 1.0
12105.7930 1.0
12184.9853 1.0
12069.0180 1.0
12144.4094 1.0
12001.6184 1.0
11961.0514 1.0
12093.4924 1.0
12176.5326 1.0
12054.7130 1.0
12133.9625 1.0
11992.1939 1.0
12079.2504 1.0
12166.0620 1.0
12038.6698 1.0
12121.6931 1.0
11981.3296 1.0
12156.4925 1.0
12023.2570 1.0
12110.1160 1.0
12144.7837 1.0
12096.6366 1.0
12134.0838 1.0
12083.9279 1.0
