wavenumbers,intensities
50064.441000,2.660E-30
50068.156000,5.783E-26
50068.895000,5.512E-26
50069.691000,2.554E-30
50069.926000,5.357E-26
50071.004000,1.067E-25
50071.445000,1.013E-25
50072.188000,9.807E-26
50072.836000,9.681E-24
50073.125000,9.123E-24
50073.754000,8.768E-24
50074.492000,2.502E-30
50075.730000,6.178E-28
50077.109000,5.909E-28
50078.781000,5.766E-28
50079.922000,5.922E-24
50080.402000,5.612E-24
50081.215000,5.424E-24
50083.551000,1.407E-27
50084.863000,1.350E-27
50086.270000,1.321E-27
50090.008000,1.719E-25
50090.312000,1.644E-25
50091.090000,1.605E-25
50092.199000,7.263E-29
50094.480000,6.945E-29
50094.891000,6.856E-26
50095.480000,3.498E-27
50095.488000,6.569E-26
50096.398000,3.351E-27
50096.547000,6.419E-26
50096.984000,6.776E-29
50097.426000,3.274E-27
50097.602000,8.020E-31
50097.629000,5.485E-24
50097.980000,5.229E-24
50098.883000,5.083E-24
50102.262000,7.696E-31
50106.371000,7.534E-31
50110.246000,9.275E-30
50112.215000,2.588E-24
50112.824000,2.473E-24
50113.977000,2.410E-24
50114.418000,8.906E-30
50118.184000,8.723E-30
50130.605000,1.548E-23
50130.852000,1.452E-23
50131.441000,1.389E-23
50137.164000,1.012E-23
50137.582000,9.560E-24
50138.332000,9.207E-24
50139.816000,9.322E-26
50140.262000,8.932E-26
50141.188000,1.108E-25
50141.238000,8.730E-26
50141.805000,1.054E-25
50142.715000,1.022E-25
50143.535000,1.921E-25
50143.887000,1.818E-25
50144.543000,1.754E-25
50147.969000,8.180E-29
50149.684000,7.858E-29
50151.223000,7.700E-29
50153.617000,3.092E-26
50154.395000,2.964E-26
50155.703000,2.899E-26
50171.664000,2.414E-28
50172.906000,2.317E-28
50173.621000,1.848E-27
50173.996000,2.268E-28
50174.195000,1.771E-27
50174.816000,5.817E-27
50175.074000,5.573E-27
50175.156000,1.732E-27
50175.180000,1.130E-23
50175.484000,1.075E-23
50175.723000,5.447E-27
50176.344000,1.043E-23
50183.035000,2.319E-23
50183.230000,2.163E-23
50183.773000,2.056E-23
50187.566000,4.178E-25
50187.832000,3.993E-25
50188.562000,3.893E-25
50188.961000,3.596E-27
50189.000000,5.668E-24
50189.027000,1.625E-23
50189.387000,1.529E-23
50189.539000,5.410E-24
50190.082000,1.466E-23
50190.133000,3.447E-27
50190.617000,5.265E-24
50191.402000,3.370E-27
50192.457000,1.767E-25
50192.992000,1.692E-25
50193.980000,1.652E-25
50199.844000,8.437E-27
50200.648000,8.072E-27
50201.574000,7.877E-27
50208.375000,2.001E-25
50208.887000,1.897E-25
50209.695000,1.834E-25
50210.297000,3.251E-25
50210.570000,3.065E-25
50211.152000,2.946E-25
50217.559000,2.376E-27
50218.840000,2.274E-27
50220.121000,9.469E-30
50220.414000,2.220E-27
50224.926000,9.095E-30
50229.297000,8.912E-30
50230.117000,3.248E-23
50230.273000,3.006E-23
50230.770000,2.836E-23
50235.520000,2.449E-23
50235.824000,2.291E-23
50236.473000,2.185E-23
50244.195000,2.750E-28
50246.246000,2.631E-28
50247.500000,2.192E-23
50247.754000,2.080E-23
50248.523000,2.569E-28
50248.562000,2.013E-23
50251.008000,2.717E-25
50251.414000,2.603E-25
50252.359000,2.544E-25
50260.508000,1.170E-23
50260.977000,1.115E-23
50261.992000,1.083E-23
50262.867000,3.124E-29
50264.469000,9.544E-26
50265.188000,9.150E-26
50266.430000,8.948E-26
50266.660000,3.000E-29
50269.656000,3.012E-30
50269.754000,3.399E-25
50270.062000,2.938E-29
50270.168000,3.212E-25
50270.887000,3.094E-25
50271.301000,5.170E-25
50271.508000,4.851E-25
50271.855000,4.238E-23
50271.973000,3.882E-23
