Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,9.5,e,1,Ground,10.5,e,2,44107.855660402,0.000834336831113403,44368.4730463,260.617385898012,1.5400370959788,6216879.69299581,0,oP12(10.5),Excited v=0 9.5  9 F1e - Ground v=0 10.5 11 F2e
LinearMolecule,Excited,10.5,e,1,Ground,11.5,e,2,44108.0415508541,0.000725028969199732,44406.8143483,298.772797445864,1.60700370852284,5897540.95875393,0,oP12(11.5),Excited v=0 10.5 10 F1e - Ground v=0 11.5 12 F2e
LinearMolecule,Excited,8.5,e,1,Ground,9.5,e,2,44108.1881023708,0.000938801528054726,44333.969412832,225.781310461163,1.46624133729631,6576791.1480335,0,oP12(9.5),Excited v=0 8.5  8 F1e - Ground v=0 9.5 10 F2e
LinearMolecule,Excited,11.5,e,1,Ground,12.5,e,2,44108.746469628,0.00061659151658454,44448.994560352,340.248090723989,1.66742232430447,5609600.84307379,0,oP12(12.5),Excited v=0 11.5 11 F1e - Ground v=0 12.5 13 F2e
LinearMolecule,Excited,7.5,e,1,Ground,8.5,e,2,44109.0382260377,0.00103176269783579,44303.302330528,194.264104490286,1.38537097562576,6991209.38779505,0,oP12(8.5),Excited v=0 7.5  7 F1e - Ground v=0 8.5  9 F2e
LinearMolecule,Excited,12.5,e,1,Ground,13.5,e,2,44109.9711508848,0.000513547656769706,44495.015048128,385.043897243178,1.72159691313629,5346774.78234775,0,oP12(13.5),Excited v=0 12.5 12 F1e - Ground v=0 13.5 14 F2e
LinearMolecule,Excited,6.5,e,1,Ground,7.5,e,2,44110.4054327912,0.00110602895151687,44276.470806172,166.065373380786,1.29723665663738,7482345.66675002,0,oP12(7.5),Excited v=0 6.5  6 F1e - Ground v=0 7.5  8 F2e
LinearMolecule,Excited,13.5,e,1,Ground,14.5,e,2,44111.7163602508,0.000419145047974055,44544.877301452,433.160941201224,1.7698454251285,5104610.59445627,0,oP12(14.5),Excited v=0 13.5 13 F1e - Ground v=0 14.5 15 F2e
LinearMolecule,Excited,5.5,e,1,Ground,6.5,e,2,44112.2891829655,0.00115446432090016,44253.4739707,141.184787734496,1.20174096331773,8087826.92581077,0,oP12(6.5),Excited v=0 5.5  5 F1e - Ground v=0 6.5  7 F2e
LinearMolecule,Excited,14.5,e,1,Ground,15.5,e,2,44113.9828882356,0.000335402121486637,44598.5829343,484.600046064363,1.81249330565915,4879860.53524923,0,oP12(15.5),Excited v=0 14.5 14 F1e - Ground v=0 15.5 16 F2e
LinearMolecule,Excited,4.5,e,1,Ground,5.5,e,2,44114.6890024498,0.00117073605929566,44234.3110792,119.622076750172,1.09894913409333,8876682.7665187,0,oP12(5.5),Excited v=0 4.5  4 F1e - Ground v=0 5.5  6 F2e
LinearMolecule,Excited,15.5,e,1,Ground,16.5,e,2,44116.7715439433,0.000263250605166938,44656.1336848,539.362140856691,1.84986851265483,4670092.62641885,0,oP12(16.5),Excited v=0 15.5 15 F1e - Ground v=0 16.5 17 F2e
LinearMolecule,Excited,3.5,e,1,Ground,4.5,e,2,44117.6044889439,0.00115024024202292,44218.981510912,101.37702196806,0.989248861318264,9990213.81873069,0,oP12(4.5),Excited v=0 3.5  3 F1e - Ground v=0 4.5  5 F2e
LinearMolecule,Excited,16.5,e,1,Ground,17.5,e,2,44120.0831491377,0.000202736754544685,44717.531415232,597.448266094332,1.88229757723977,4473441.63498212,0,oP12(17.5),Excited v=0 16.5 16 F1e - Ground v=0 17.5 18 F2e
LinearMolecule,Excited,2.5,e,1,Ground,3.5,e,2,44121.035317729,0.00109137908919585,44207.484769228,86.4494514989908,0.873777457011299,11768201.9470916,0,oP12(3.5),Excited v=0 2.5  2 F1e - Ground v=0 3.5  4 F2e
LinearMolecule,Excited,17.5,e,1,Ground,18.5,e,2,44123.9185327122,0.000153246551231113,44782.778112028,658.859579315778,1.91010244579474,4288444.8034449,0,oP12(18.5),Excited v=0 17.5 17 F1e - Ground v=0 18.5 19 F2e
LinearMolecule,Excited,1.5,e,1,Ground,2.5,e,2,44124.9812468272,0.000998163268723783,44199.820481692,74.8392348648033,0.75586550637046,15274309.2620202,0,oP12(2.5),Excited v=0 1.5  1 F1e - Ground v=0 2.5  3 F2e
LinearMolecule,Excited,18.5,e,1,Ground,19.5,e,2,44128.2785255982,0.000113726468930618,44851.875885772,723.597360173834,1.93359794342258,4113930.7636515,0,oP12(19.5),Excited v=0 18.5 18 F1e - Ground v=0 19.5 20 F2e
LinearMolecule,Excited,0.5,e,1,Ground,1.5,e,2,44129.4421214314,0.000890773185757016,44195.9884,66.5462785685632,0.648241972576463,26206915.3487993,0,oP12(1.5),Excited v=0 0.5  0 F1e - Ground v=0 1.5  2 F2e
LinearMolecule,Excited,2.5,f,1,Ground,3.5,f,2,44132.5317842678,0.00128515459416032,44218.981510912,86.449726644158,1.02891892109007,13868512.2288469,0,pP2(3.5),Excited v=0 2.5  3 F2f - Ground v=0 3.5  4 F2f
LinearMolecule,Excited,3.5,e,1,Ground,3.5,f,2,44132.5317842678,0.00141406895890962,44218.981510912,86.449726644158,1.13213018430586,11444751.1246015,0,pQ12(3.5),Excited v=0 3.5  3 F1e - Ground v=0 3.5  4 F2f
LinearMolecule,Excited,1.5,f,1,Ground,2.5,f,2,44132.6454239595,0.001113185057418,44207.484769228,74.8393452685028,0.84296693636692,17043307.3036714,0,pP2(2.5),Excited v=0 1.5  2 F2f - Ground v=0 2.5  3 F2f
LinearMolecule,Excited,2.5,e,1,Ground,2.5,f,2,44132.6454239595,0.00110897617549347,44207.484769228,74.8393452685028,0.83977973197731,11319245.094926,0,pQ12(2.5),Excited v=0 2.5  2 F1e - Ground v=0 2.5  3 F2f
LinearMolecule,Excited,4.5,e,1,Ground,4.5,f,2,44132.933509143,0.00162515738839981,44234.3110792,101.377570056958,1.39769872688975,11303824.3345164,0,pQ12(4.5),Excited v=0 4.5  4 F1e - Ground v=0 4.5  5 F2f
LinearMolecule,Excited,3.5,f,1,Ground,4.5,f,2,44132.933509143,0.00142992755346477,44234.3110792,101.377570056958,1.2297934558758,12432372.697273,0,pP2(4.5),Excited v=0 3.5  4 F2f - Ground v=0 4.5  5 F2f
LinearMolecule,Excited,19.5,e,1,Ground,20.5,e,2,44133.1639561324,8.28795664642414E-5,44924.8269712,791.663015067624,1.95308975299577,3948942.80433327,0,oP12(20.5),Excited v=0 19.5 19 F1e - Ground v=0 20.5 21 F2e
LinearMolecule,Excited,0.5,f,1,Ground,1.5,f,2,44133.2741754604,0.000940735102812737,44199.820481692,66.5463062316406,0.68460082698422,27684029.9885057,0,pP2(1.5),Excited v=0 0.5  1 F2f - Ground v=0 1.5  2 F2f
LinearMolecule,Excited,1.5,e,1,Ground,1.5,f,2,44133.2741754604,0.000693033430944459,44199.820481692,66.5463062316406,0.504340976044914,10197322.4066683,0,pQ12(1.5),Excited v=0 1.5  1 F1e - Ground v=0 1.5  2 F2f
LinearMolecule,Excited,4.5,f,1,Ground,5.5,f,2,44133.850939449,0.00153619308155689,44253.4739707,119.62303125098,1.44200374753814,11662866.4652344,0,pP2(5.5),Excited v=0 4.5  5 F2f - Ground v=0 5.5  6 F2f
LinearMolecule,Excited,5.5,e,1,Ground,5.5,f,2,44133.850939449,0.0017488166722563,44253.4739707,119.62303125098,1.64159064731303,11064264.1896018,0,pQ12(5.5),Excited v=0 5.5  5 F1e - Ground v=0 5.5  6 F2f
LinearMolecule,Excited,6.5,e,1,Ground,6.5,f,2,44135.2844999182,0.00179272590498502,44276.470806172,141.186306253818,1.86615368433309,10782031.7091497,0,pQ12(6.5),Excited v=0 6.5  6 F1e - Ground v=0 6.5  7 F2f
LinearMolecule,Excited,5.5,f,1,Ground,6.5,f,2,44135.2844999182,0.00159855886167265,44276.470806172,141.186306253818,1.66403380518934,11216623.2451735,0,pP2(6.5),Excited v=0 5.5  6 F2f - Ground v=0 6.5  7 F2f
LinearMolecule,Excited,6.5,f,1,Ground,7.5,f,2,44137.2346941586,0.00161570065234745,44303.302330528,166.06763636941,1.89503977919122,10950377.667764,0,pP2(7.5),Excited v=0 6.5  7 F2f - Ground v=0 7.5  8 F2f
LinearMolecule,Excited,7.5,e,1,Ground,7.5,f,2,44137.2346941586,0.00176725574035646,44303.302330528,166.06763636941,2.07279728649842,10480346.7423075,0,pQ12(7.5),Excited v=0 7.5  7 F1e - Ground v=0 7.5  8 F2f
LinearMolecule,Excited,20.5,e,1,Ground,21.5,e,2,44138.5756458953,5.93250594999905E-5,45001.6337272,863.058081304747,1.96887283342984,3792684.89301503,0,oP12(21.5),Excited v=0 20.5 20 F1e - Ground v=0 21.5 22 F2e
LinearMolecule,Excited,8.5,e,1,Ground,8.5,f,2,44139.7020990219,0.00168502384364733,44333.969412832,194.267313810057,2.26255423017334,10170402.2048697,0,pQ12(8.5),Excited v=0 8.5  8 F1e - Ground v=0 8.5  9 F2f
