Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,A2Sigma,8.5,e,1,X2Pi,9.5,e,2,40331.9634015268,0.000936849272871078,40559.914192494,227.95079096722,1.45823982110517,5000667.56394491,0,oP12(9.5),A2Sigma v=0 8.5  8 F1e - X2Pi v=2 9.5 10 F2e
LinearMolecule,A2Sigma,7.5,e,1,X2Pi,8.5,e,2,40332.1584844946,0.00103244200590289,40528.146296526,195.98781203136,1.37864043149097,5318741.2876205,0,oP12(8.5),A2Sigma v=0 7.5  7 F1e - X2Pi v=2 8.5  9 F2e
LinearMolecule,A2Sigma,9.5,e,1,X2Pi,10.5,e,2,40332.3796421377,0.000830191724931279,40595.649615975,263.269973837248,1.53074187180444,4724511.91215104,0,oP12(10.5),A2Sigma v=0 9.5  9 F1e - X2Pi v=2 10.5 11 F2e
LinearMolecule,A2Sigma,6.5,e,1,X2Pi,7.5,e,2,40332.9637807716,0.00110959721760856,40500.347013399,167.38323262737,1.29173028035,5695707.21189835,0,oP12(7.5),A2Sigma v=0 6.5  6 F1e - X2Pi v=2 7.5  8 F2e
LinearMolecule,A2Sigma,10.5,e,1,X2Pi,11.5,e,2,40333.4083738212,0.000719238117981429,40635.351345975,301.942972153767,1.59641596744632,4479624.33778818,0,oP12(11.5),A2Sigma v=0 10.5 10 F1e - X2Pi v=2 11.5 12 F2e
LinearMolecule,A2Sigma,5.5,e,1,X2Pi,6.5,e,2,40334.3782458438,0.00116093580555575,40476.517292775,142.139046931186,1.19738826565202,6160320.31173847,0,oP12(6.5),A2Sigma v=0 5.5  5 F1e - X2Pi v=2 6.5  7 F2e
LinearMolecule,A2Sigma,11.5,e,1,X2Pi,12.5,e,2,40335.0508126845,0.000609738140519562,40679.018025834,343.967213149499,1.65556657015022,4258990.52957156,0,oP12(12.5),A2Sigma v=0 11.5 11 F1e - X2Pi v=2 12.5 13 F2e
LinearMolecule,A2Sigma,4.5,e,1,X2Pi,5.5,e,2,40336.4009092446,0.00117984397924587,40456.65794865,120.257039405444,1.09565689035324,6765337.25755067,0,oP12(5.5),A2Sigma v=0 4.5  4 F1e - X2Pi v=2 5.5  6 F2e
LinearMolecule,A2Sigma,12.5,e,1,X2Pi,13.5,e,2,40337.3082149083,0.000506188711223429,40726.648163226,389.3399483177,1.70851993594029,4057802.31860887,0,oP12(13.5),A2Sigma v=0 12.5 12 F1e - X2Pi v=2 13.5 14 F2e
LinearMolecule,A2Sigma,3.5,e,1,X2Pi,4.5,e,2,40339.0308824359,0.00116143516693791,40440.769659354,101.738776918099,0.986902665220731,7618757.64050667,0,oP12(4.5),A2Sigma v=0 3.5  3 F1e - X2Pi v=2 4.5  5 F2e
LinearMolecule,A2Sigma,13.5,e,1,X2Pi,14.5,e,2,40340.1818684095,0.000411764636212973,40778.240130159,438.058261749492,1.75561492951663,3872649.85492984,0,oP12(14.5),A2Sigma v=0 13.5 13 F1e - X2Pi v=2 14.5 15 F2e
LinearMolecule,A2Sigma,2.5,e,1,X2Pi,3.5,e,2,40342.2673661071,0.0011038760399392,40428.852967551,86.5856014439366,0.872243944522812,8980304.55001068,0,oP12(3.5),A2Sigma v=0 2.5  2 F1e - X2Pi v=2 3.5  4 F2e
LinearMolecule,A2Sigma,14.5,e,1,X2Pi,15.5,e,2,40343.6730848205,0.000328383064395804,40833.792162975,490.119078154479,1.79719626450142,3701041.90952935,0,oP12(15.5),A2Sigma v=0 14.5 14 F1e - X2Pi v=2 15.5 16 F2e
LinearMolecule,A2Sigma,1.5,e,1,X2Pi,2.5,e,2,40346.1096567208,0.00101106048211917,40420.908280239,74.7986235182413,0.754995496801508,11663067.9576993,0,oP12(2.5),A2Sigma v=0 1.5  1 F1e - X2Pi v=2 2.5  3 F2e
LinearMolecule,A2Sigma,15.5,e,1,X2Pi,16.5,e,2,40347.7831918794,0.000256863458594266,40893.30236235,545.519170470591,1.83360931637372,3541109.09344241,0,oP12(16.5),A2Sigma v=0 15.5 15 F1e - X2Pi v=2 16.5 17 F2e
LinearMolecule,A2Sigma,0.5,e,1,X2Pi,1.5,e,2,40350.5571521482,0.000903362474677673,40416.93586875,66.3787166018437,0.647876045305032,20023222.6549338,0,oP12(1.5),A2Sigma v=0 0.5  0 F1e - X2Pi v=2 1.5  2 F2e
LinearMolecule,A2Sigma,16.5,e,1,X2Pi,17.5,e,2,40352.5135263047,0.00019714334161146,40956.768693294,604.255166989313,1.86519604638835,3391413.83106935,0,oP12(17.5),A2Sigma v=0 16.5 16 F1e - X2Pi v=2 17.5 18 F2e
LinearMolecule,A2Sigma,1.5,f,1,X2Pi,2.5,f,2,40354.0542201707,0.0011299725252139,40428.852967551,74.7987473803111,0.843791929283955,13042484.7586428,0,pP2(2.5),A2Sigma v=0 1.5  2 F2f - X2Pi v=2 2.5  3 F2f
LinearMolecule,A2Sigma,2.5,e,1,X2Pi,2.5,f,2,40354.0542201707,0.00112266085789054,40428.852967551,74.7987473803111,0.83833203911902,8638727.52150349,0,pQ12(2.5),A2Sigma v=0 2.5  2 F1e - X2Pi v=2 2.5  3 F2f
LinearMolecule,A2Sigma,2.5,f,1,X2Pi,3.5,f,2,40354.1837492936,0.00130399708593536,40440.769659354,86.5859100603651,1.03037406756166,10617757.7770022,0,pP2(3.5),A2Sigma v=0 2.5  3 F2f - X2Pi v=2 3.5  4 F2f
LinearMolecule,A2Sigma,3.5,e,1,X2Pi,3.5,f,2,40354.1837492936,0.00142942010948976,40440.769659354,86.5859100603651,1.12947906736534,8729258.28276577,0,pQ12(3.5),A2Sigma v=0 3.5  3 F1e - X2Pi v=2 3.5  4 F2f
LinearMolecule,A2Sigma,0.5,f,1,X2Pi,1.5,f,2,40354.5295325969,0.000955052836111041,40420.908280239,66.378747642116,0.684947586349506,21175206.3924097,0,pP2(1.5),A2Sigma v=0 0.5  1 F2f - X2Pi v=2 1.5  2 F2f
LinearMolecule,A2Sigma,1.5,e,1,X2Pi,1.5,f,2,40354.5295325969,0.000702434964947895,40420.908280239,66.378747642116,0.503774362649629,7787111.24537585,0,pQ12(1.5),A2Sigma v=0 1.5  1 F1e - X2Pi v=2 1.5  2 F2f
LinearMolecule,A2Sigma,4.5,e,1,X2Pi,4.5,f,2,40354.9185571437,0.00163998660070368,40456.65794865,101.739391506336,1.39354478305936,8616557.64570577,0,pQ12(4.5),A2Sigma v=0 4.5  4 F1e - X2Pi v=2 4.5  5 F2f
LinearMolecule,A2Sigma,3.5,f,1,X2Pi,4.5,f,2,40354.9185571437,0.00144989840845144,40456.65794865,101.739391506336,1.23202126297656,9522282.9956952,0,pP2(4.5),A2Sigma v=0 3.5  4 F2f - X2Pi v=2 4.5  5 F2f
LinearMolecule,A2Sigma,4.5,f,1,X2Pi,5.5,f,2,40356.2591834273,0.00155616374208294,40476.517292775,120.258109347737,1.44513198832169,8936421.90869846,0,pP2(5.5),A2Sigma v=0 4.5  5 F2f - X2Pi v=2 5.5  6 F2f
LinearMolecule,A2Sigma,5.5,e,1,X2Pi,5.5,f,2,40356.2591834273,0.00176133601531123,40476.517292775,120.258109347737,1.63566528963226,8428869.73167464,0,pQ12(5.5),A2Sigma v=0 5.5  5 F1e - X2Pi v=2 5.5  6 F2f
LinearMolecule,A2Sigma,17.5,e,1,X2Pi,18.5,e,2,40357.865427209,0.000148513857976014,41024.188985151,666.323557942052,1.89229176953125,3250825.11054397,0,oP12(18.5),A2Sigma v=0 17.5 17 F1e - X2Pi v=2 18.5 19 F2e
LinearMolecule,A2Sigma,5.5,f,1,X2Pi,6.5,f,2,40358.2062649707,0.00161737460968161,40500.347013399,142.140748428256,1.66817249751706,8597629.38546978,0,pP2(6.5),A2Sigma v=0 5.5  6 F2f - X2Pi v=2 6.5  7 F2f
LinearMolecule,A2Sigma,6.5,e,1,X2Pi,6.5,f,2,40358.2062649708,0.0018016394484346,40500.347013399,142.140748428256,1.85822465638435,8208979.89574004,0,pQ12(6.5),A2Sigma v=0 6.5  6 F1e - X2Pi v=2 6.5  7 F2f
