Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,B2Pi,43.5,f,1,X2Pi,44.5,f,1,44406.6810433289,4.85618046775936E-9,47645.1876256806,3238.50658235168,14.2876859067397,13376657.5903976,0,pP1f(44.5),B2Pi v=0 43.5 43 F1f - X2Pi v=0 44.5 44 F1f
LinearMolecule,B2Pi,43.5,e,1,X2Pi,44.5,e,1,44406.9576611845,4.85949605403255E-9,47645.1876256806,3238.22996449615,14.2784859522803,13368294.0723099,0,pP1e(44.5),B2Pi v=0 43.5 43 F1e - X2Pi v=0 44.5 44 F1e
LinearMolecule,B2Pi,41.5,f,2,X2Pi,42.5,f,2,44417.561102735,7.56749801688299E-9,47553.4648340795,3135.90373134455,13.6117419044636,13360477.7331907,0,pP2f(42.5),B2Pi v=0 41.5 42 F2f - X2Pi v=0 42.5 43 F2f
LinearMolecule,B2Pi,41.5,e,2,X2Pi,42.5,e,2,44417.7768980553,7.57049581580255E-9,47553.4648340795,3135.68793602424,13.6030484780538,13352139.3874929,0,pP2e(42.5),B2Pi v=0 41.5 42 F2e - X2Pi v=0 42.5 43 F2e
LinearMolecule,B2Pi,42.5,f,1,X2Pi,43.5,f,1,44456.5535594114,9.55648403916418E-9,47548.9662815625,3092.4127221511,13.953223819358,13412413.2651195,0,pP1f(43.5),B2Pi v=0 42.5 42 F1f - X2Pi v=0 43.5 43 F1f
LinearMolecule,B2Pi,42.5,e,1,X2Pi,43.5,e,1,44456.8305849526,9.56305781566272E-9,47548.9662815625,3092.13569660989,13.9442834559262,13404069.9939793,0,pP1e(43.5),B2Pi v=0 42.5 42 F1e - X2Pi v=0 43.5 43 F1e
LinearMolecule,B2Pi,40.5,f,2,X2Pi,41.5,f,2,44465.6114107683,1.45811150823422E-8,47459.5812786992,2993.96986793092,13.2777991666292,13393944.3623559,0,pP2f(41.5),B2Pi v=0 40.5 41 F2f - X2Pi v=0 41.5 42 F2f
LinearMolecule,B2Pi,40.5,e,2,X2Pi,41.5,e,2,44465.8158736151,1.4586163516291E-8,47459.5812786992,2993.76540508411,13.2693781724883,13385634.3558028,0,pP2e(41.5),B2Pi v=0 40.5 41 F2e - X2Pi v=0 41.5 42 F2e
LinearMolecule,B2Pi,41.5,f,1,X2Pi,42.5,f,1,44505.2843753521,1.84940684945296E-8,47454.9793679205,2949.69499256845,13.6191555721308,13447113.7471189,0,pP1f(42.5),B2Pi v=0 41.5 41 F1f - X2Pi v=0 42.5 42 F1f
LinearMolecule,B2Pi,41.5,e,1,X2Pi,42.5,e,1,44505.5615406317,1.85068733967121E-8,47454.9793679205,2949.41782728876,13.6104812383813,13438800.0655809,0,pP1e(42.5),B2Pi v=0 41.5 41 F1e - X2Pi v=0 42.5 42 F1e
LinearMolecule,B2Pi,39.5,f,2,X2Pi,40.5,f,2,44512.5052572691,2.76246763935894E-8,47367.9367523605,2855.43149509139,12.9443068789357,13426362.5427459,0,pP2f(40.5),B2Pi v=0 39.5 40 F2f - X2Pi v=0 40.5 41 F2f
LinearMolecule,B2Pi,39.5,e,2,X2Pi,40.5,e,2,44512.6986627292,2.76329187201264E-8,47367.9367523605,2855.23808963124,12.936164439938,13418091.7752963,0,pP2e(40.5),B2Pi v=0 39.5 40 F2e - X2Pi v=0 40.5 41 F2e
LinearMolecule,B2Pi,37.5,e,1,X2Pi,38.5,e,2,44513.0221586623,4.18951747256484E-9,47101.3729614388,2588.35080277643,0.54532864331101,595428.205494176,0,oP12e(38.5),B2Pi v=0 37.5 37 F1e - X2Pi v=0 38.5 39 F2e
LinearMolecule,B2Pi,40.5,f,1,X2Pi,41.5,f,1,44552.8790837035,3.51964980260959E-8,47363.2267418008,2810.34765809728,13.285517518,13480791.4129268,0,pP1f(41.5),B2Pi v=0 40.5 40 F1f - X2Pi v=0 41.5 41 F1f
LinearMolecule,B2Pi,40.5,e,1,X2Pi,41.5,e,1,44553.1561172567,3.5221003774481E-8,47363.2267418008,2810.07062454409,13.2771155053854,13472517.2220206,0,pP1e(41.5),B2Pi v=0 40.5 40 F1e - X2Pi v=0 41.5 41 F1e
