Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,118.5,e,1,Ground,119.5,e,2,39328.0511786183,1.02886781674835E-9,62545.3720522102,23217.3208735919,0.353181639863589,84928.1929017844,0,oP12e(119.5),Excited v=4 118.5 118 F1e - Ground v=1 119.5 120 F2e
LinearMolecule,Excited,117.5,f,1,Ground,118.5,f,2,39438.9267459344,1.14413461567172E-9,62293.6159162619,22854.6891703275,0.330054114410942,80718.2716919483,0,oP12f(118.5),Excited v=4 117.5 117 F1f - Ground v=1 118.5 119 F2f
LinearMolecule,Excited,117.5,e,1,Ground,118.5,e,2,39440.9125725922,1.22449639637481E-9,62293.6159162619,22852.7033436697,0.3529002129108,86318.567588941,0,oP12e(118.5),Excited v=4 117.5 117 F1e - Ground v=1 118.5 119 F2e
LinearMolecule,Excited,116.5,f,1,Ground,117.5,f,2,39551.5406909265,1.36096532472172E-9,62043.9930482248,22492.4523572983,0.329994593651098,82092.7164980529,0,oP12f(117.5),Excited v=4 116.5 116 F1f - Ground v=1 117.5 118 F2f
LinearMolecule,Excited,116.5,e,1,Ground,117.5,e,2,39553.4951420046,1.45576285351695E-9,62043.9930482248,22490.4979062202,0.352649535715431,87741.5898322476,0,oP12e(117.5),Excited v=4 116.5 116 F1e - Ground v=1 117.5 118 F2e
LinearMolecule,Excited,118.5,f,2,Ground,119.5,f,2,39582.3474961714,1.14954358377474E-7,62801.6857877898,23219.3382916185,39.4988248118974,9683565.65658862,0,pP2f(119.5),Excited v=4 118.5 119 F2f - Ground v=1 119.5 120 F2f
LinearMolecule,Excited,118.5,e,2,Ground,119.5,e,2,39584.364914198,1.14998471098952E-7,62801.6857877898,23217.3208735919,39.4757693295284,9679393.21086079,0,pP2e(119.5),Excited v=4 118.5 119 F2e - Ground v=1 119.5 120 F2e
LinearMolecule,Excited,115.5,f,1,Ground,116.5,f,2,39663.8597992368,1.61714692448188E-9,61796.5034437358,22132.643644499,0.329964120302805,83500.1198134162,0,oP12f(116.5),Excited v=4 115.5 115 F1f - Ground v=1 116.5 117 F2f
LinearMolecule,Excited,115.5,e,1,Ground,116.5,e,2,39665.7830907838,1.72884313949606E-9,61796.5034437358,22130.720352952,0.352429487423327,89198.1390685511,0,oP12e(116.5),Excited v=4 115.5 115 F1e - Ground v=1 116.5 117 F2e
LinearMolecule,Excited,117.5,f,2,Ground,118.5,f,2,39693.1274734106,1.35767578799068E-7,62547.8166437381,22854.6891703275,39.1655381914442,9764758.23257419,0,pP2f(118.5),Excited v=4 117.5 118 F2f - Ground v=1 118.5 119 F2f
LinearMolecule,Excited,117.5,e,2,Ground,118.5,e,2,39695.1133000684,1.35817614345952E-7,62547.8166437381,22852.7033436697,39.1426754391626,9760522.88270769,0,pP2e(118.5),Excited v=4 117.5 118 F2e - Ground v=1 118.5 119 F2e
LinearMolecule,Excited,118.5,e,1,Ground,119.5,e,1,39711.427643582,1.38215728231635E-7,62545.3720522102,22833.9444086281,39.4770491758587,9773219.87241631,0,pP1e(119.5),Excited v=4 118.5 118 F1e - Ground v=1 119.5 119 F1e
LinearMolecule,Excited,118.5,f,1,Ground,119.5,f,1,39711.9724216086,1.38332528851658E-7,62545.3720522102,22833.3996306015,39.500088068752,9779326.00472056,0,pP1f(119.5),Excited v=4 118.5 118 F1f - Ground v=1 119.5 119 F1f
LinearMolecule,Excited,114.5,f,1,Ground,115.5,f,2,39775.8684060645,1.91946875491229E-9,61551.1470982836,21775.2786922191,0.329962630612044,84941.3920934322,0,oP12f(115.5),Excited v=4 114.5 114 F1f - Ground v=1 115.5 116 F2f
LinearMolecule,Excited,114.5,e,1,Ground,115.5,e,2,39777.7607543916,2.05092153122023E-9,61551.1470982836,21773.386343892,0.352239947876227,90689.1243818065,0,oP12e(115.5),Excited v=4 114.5 114 F1e - Ground v=1 115.5 116 F2e
LinearMolecule,Excited,116.5,f,2,Ground,117.5,f,2,39803.6287544768,1.60152039345377E-7,62296.0811117752,22492.4523572983,38.8322216489819,9846181.20026419,0,pP2f(117.5),Excited v=4 116.5 117 F2f - Ground v=1 117.5 118 F2f
LinearMolecule,Excited,116.5,e,2,Ground,117.5,e,2,39805.583205555,1.60208636371189E-7,62296.0811117752,22490.4979062202,38.8095499877682,9841882.27792211,0,pP2e(117.5),Excited v=4 116.5 117 F2e - Ground v=1 117.5 118 F2e
LinearMolecule,Excited,117.5,e,1,Ground,118.5,e,1,39822.01443941,1.63060235519271E-7,62293.6159162619,22471.6014768519,39.1439743087286,9854759.58520253,0,pP1e(118.5),Excited v=4 117.5 117 F1e - Ground v=1 118.5 118 F1e
LinearMolecule,Excited,117.5,f,1,Ground,118.5,f,1,39822.5398980678,1.63196525773559E-7,62293.6159162619,22471.0760181941,39.1668204072284,9860901.58343222,0,pP1f(118.5),Excited v=4 117.5 117 F1f - Ground v=1 118.5 118 F1f
LinearMolecule,Excited,113.5,f,1,Ground,114.5,f,2,39887.5509781025,2.2758228118372E-9,61307.9240072027,21420.3730291002,0.329990060884365,86417.4747977909,0,oP12f(114.5),Excited v=4 113.5 113 F1f - Ground v=1 114.5 115 F2f
LinearMolecule,Excited,113.5,e,1,Ground,114.5,e,2,39889.4125997874,2.43034356700309E-9,61307.9240072027,21418.5114074153,0.352080796995313,92215.4855597682,0,oP12e(114.5),Excited v=4 113.5 113 F1e - Ground v=1 114.5 115 F2e
LinearMolecule,Excited,115.5,f,2,Ground,116.5,f,2,39913.8355517652,1.88682144018568E-7,62046.4791962642,22132.643644499,38.4988752261214,9927819.90079919,0,pP2f(116.5),Excited v=4 115.5 116 F2f - Ground v=1 116.5 117 F2f
LinearMolecule,Excited,115.5,e,2,Ground,116.5,e,2,39915.7588433122,1.88745977766708E-7,62046.4791962642,22130.720352952,38.4763930734198,9923456.74036596,0,pP2e(116.5),Excited v=4 115.5 116 F2e - Ground v=1 116.5 117 F2e
LinearMolecule,Excited,116.5,e,1,Ground,117.5,e,1,39932.308772985,1.92132852061452E-7,62043.9930482248,22111.6842752398,38.8108683549311,9936517.61281226,0,pP1e(117.5),Excited v=4 116.5 116 F1e - Ground v=1 117.5 117 F1e
LinearMolecule,Excited,116.5,f,1,Ground,117.5,f,1,39932.8151280632,1.92291696376033E-7,62043.9930482248,22111.1779201617,38.8335232969954,9942696.04452558,0,pP1f(117.5),Excited v=4 116.5 116 F1f - Ground v=1 117.5 117 F1f
LinearMolecule,Excited,119.5,f,1,Ground,118.5,f,2,39944.5722899634,1.18280867361053E-9,62799.2614602909,22854.6891703275,0.341210609257641,85252.6824576858,0,qR12f(118.5),Excited v=4 119.5 119 F1f - Ground v=1 118.5 119 F2f
LinearMolecule,Excited,119.5,e,1,Ground,118.5,e,2,39946.5581166212,1.26484977815184E-9,62799.2614602909,22852.7033436697,0.364530069121848,91092.7168697818,0,qR12e(118.5),Excited v=4 119.5 119 F1e - Ground v=1 118.5 119 F2e
LinearMolecule,Excited,118.5,e,2,Ground,119.5,e,1,39967.7413791617,1.23833821041924E-9,62801.6857877898,22833.9444086281,0.353693020718579,89269.2313094221,0,qP21e(119.5),Excited v=4 118.5 119 F2e - Ground v=1 119.5 119 F1e
LinearMolecule,Excited,118.5,f,2,Ground,119.5,f,1,39968.2861571883,1.15791961611785E-9,62801.6857877898,22833.3996306015,0.330637538349624,83453.6281932116,0,qP21f(119.5),Excited v=4 118.5 119 F2f - Ground v=1 119.5 119 F1f
LinearMolecule,Excited,112.5,f,1,Ground,113.5,f,2,39998.8921134993,2.69536991007638E-9,61066.8341656668,21067.9420521675,0.330046346866927,87929.3415106913,0,oP12f(113.5),Excited v=4 112.5 112 F1f - Ground v=1 113.5 114 F2f
LinearMolecule,Excited,112.5,e,1,Ground,113.5,e,2,40000.7232253902,2.87679005780982E-9,61066.8341656668,21066.1109402766,0.351951914120645,93778.1941866907,0,oP12e(113.5),Excited v=4 112.5 112 F1e - Ground v=1 113.5 114 F2e
LinearMolecule,Excited,114.5,f,2,Ground,115.5,f,2,40023.7322094973,2.22017513435459E-7,61799.0109017164,21775.2786922191,38.1654989629964,10009659.4804997,0,pP2f(115.5),Excited v=4 114.5 115 F2f - Ground v=1 115.5 116 F2f
LinearMolecule,Excited,114.5,e,2,Ground,115.5,e,2,40025.6245578244,2.22089290129248E-7,61799.0109017164,21773.386343892,38.1432047926529,10005231.4194462,0,pP2e(115.5),Excited v=4 114.5 115 F2e - Ground v=1 115.5 116 F2e
LinearMolecule,Excited,115.5,e,1,Ground,116.5,e,1,40042.2950304798,2.2610718241712E-7,61796.5034437358,21754.208413256,38.4777314279954,10018479.1836099,0,pP1e(116.5),Excited v=4 115.5 115 F1e - Ground v=1 116.5 116 F1e
LinearMolecule,Excited,115.5,f,1,Ground,116.5,f,1,40042.7824980268,2.26292093624099E-7,61796.5034437358,21753.720945709,38.5001967951159,10024694.617538,0,pP1f(116.5),Excited v=4 115.5 115 F1f - Ground v=1 116.5 116 F1f
LinearMolecule,Excited,118.5,f,1,Ground,117.5,f,2,40052.9196949118,1.40750157338687E-9,62545.3720522102,22492.4523572983,0.341278283389075,86687.7395912245,0,qR12f(117.5),Excited v=4 118.5 118 F1f - Ground v=1 117.5 118 F2f
LinearMolecule,Excited,118.5,e,1,Ground,117.5,e,2,40054.87414599,1.50430163774053E-9,62545.3720522102,22490.4979062202,0.36440775559258,92576.3835678633,0,qR12e(117.5),Excited v=4 118.5 118 F1e - Ground v=1 117.5 118 F2e
LinearMolecule,Excited,117.5,e,2,Ground,118.5,e,1,40076.2151668862,1.47221565643082E-9,62547.8166437381,22471.6014768519,0.353417690393471,90690.0879155202,0,qP21e(118.5),Excited v=4 117.5 118 F2e - Ground v=1 118.5 118 F1e
LinearMolecule,Excited,117.5,f,2,Ground,118.5,f,1,40076.740625544,1.37732440152838E-9,62547.8166437381,22471.0760181941,0.330554938111897,84826.6411078356,0,qP21f(118.5),Excited v=4 117.5 118 F2f - Ground v=1 118.5 118 F1f
LinearMolecule,Excited,111.5,f,1,Ground,112.5,f,2,40109.8765418187,3.18872855198621E-9,60827.8775686815,20718.0010268628,0.330131423090112,89477.9991013309,0,oP12f(112.5),Excited v=4 111.5 111 F1f - Ground v=1 112.5 113 F2f
LinearMolecule,Excited,111.5,e,1,Ground,112.5,e,2,40111.6773610383,3.40147470824699E-9,60827.8775686815,20716.2002076432,0.351853177309782,95378.2547744663,0,oP12e(112.5),Excited v=4 111.5 111 F1e - Ground v=1 112.5 113 F2e
LinearMolecule,Excited,113.5,f,2,Ground,114.5,f,2,40133.3032036971,2.60914343322609E-7,61553.6762327973,21420.3730291002,37.8320928987993,10091684.8929332,0,pP2f(114.5),Excited v=4 113.5 114 F2f - Ground v=1 114.5 115 F2f
LinearMolecule,Excited,113.5,e,2,Ground,114.5,e,2,40135.164825382,2.60994792056986E-7,61553.6762327973,21418.5114074153,37.8099852410427,10087191.2722075,0,pP2e(114.5),Excited v=4 113.5 114 F2e - Ground v=1 114.5 115 F2e
LinearMolecule,Excited,114.5,e,1,Ground,115.5,e,1,40151.957731226,2.65755623654305E-7,61551.1470982836,21399.1893670576,38.144563640546,10100629.3365061,0,pP1e(115.5),Excited v=4 114.5 114 F1e - Ground v=1 115.5 115 F1e
