Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,47,e,1,Ground,48,e,1,49163.3022712511,1.45560428487097E-8,52381.0080976297,3217.70582637859,15.9962828056902,18825306.2659629,0,pP1(48),Excited v=2 47 46 F1e - Ground v=0 48 47 F1e
LinearMolecule,Excited,46,f,1,Ground,47,f,1,49163.9632405815,1.40870027789996E-8,52384.0627214667,3220.09948088512,15.6595744680851,18826132.2949068,0,pP2(47),Excited v=2 46 46 F2f - Ground v=0 47 47 F2f
LinearMolecule,Excited,45,e,2,Ground,46,e,2,49165.2111357528,1.38963555643772E-8,52383.7083603657,3218.49722461288,15.329395344556,18835658.1869374,0,pP3(46),Excited v=2 45 46 F3e - Ground v=0 46 47 F3e
LinearMolecule,Excited,45,e,1,Ground,46,e,1,49288.176054325,4.93595233557589E-8,52242.3863777677,2954.21032344265,15.3294578762522,18977416.4367594,0,pP1(46),Excited v=2 45 44 F1e - Ground v=0 46 45 F1e
LinearMolecule,Excited,44,f,1,Ground,45,f,1,49288.7971205813,4.77279690491648E-8,52245.3830166667,2956.58589608538,14.9925925925926,18978191.9075316,0,pP2(45),Excited v=2 44 44 F2f - Ground v=0 45 45 F2f
LinearMolecule,Excited,43,e,2,Ground,44,e,2,49290.0036762691,4.70411190777132E-8,52244.9706748518,2954.96699858278,14.6625504641503,18988482.619227,0,pP3(44),Excited v=2 43 44 F3e - Ground v=0 44 45 F3e
LinearMolecule,Excited,49,e,1,Ground,48,e,1,49307.6098545615,1.48594485448844E-8,52525.31568094,3217.70582637859,16.3297088179183,18604094.7025795,0,rR1(48),Excited v=2 49 48 F1e - Ground v=0 48 47 F1e
LinearMolecule,Excited,48,f,1,Ground,47,f,1,49308.3288125815,1.43869949030202E-8,52528.4282934667,3220.09948088512,15.9930555555556,18597047.6730728,0,rR2(47),Excited v=2 48 48 F2f - Ground v=0 47 47 F2f
LinearMolecule,Excited,47,e,2,Ground,46,e,2,49309.6346926907,1.41986220528647E-8,52528.1319173036,3218.49722461288,15.6628325885852,18597968.1047882,0,rR3(46),Excited v=2 47 48 F3e - Ground v=0 46 47 F3e
LinearMolecule,Excited,43,e,1,Ground,44,e,1,49407.7660682935,1.58460872118727E-7,52109.5011896815,2701.73512138796,14.6626184803875,19124997.1249287,0,pP1(44),Excited v=2 43 42 F1e - Ground v=0 44 43 F1e
LinearMolecule,Excited,42,f,1,Ground,43,f,1,49408.3472101756,1.53077875546271E-7,52112.4398478667,2704.09263769105,14.3255813953488,19125718.1856389,0,pP2(43),Excited v=2 42 42 F2f - Ground v=0 43 43 F2f
LinearMolecule,Excited,41,e,2,Ground,42,e,2,49409.5124733022,1.50730482462455E-7,52111.9695301283,2702.45705682617,13.9956882597745,19136888.0686995,0,pP3(42),Excited v=2 41 42 F3e - Ground v=0 42 43 F3e
LinearMolecule,Excited,47,e,1,Ground,46,e,1,49426.7977741871,5.04331525599465E-8,52381.0080976297,2954.21032344265,15.6628920859322,18730924.6535328,0,rR1(46),Excited v=2 47 46 F1e - Ground v=0 46 45 F1e
LinearMolecule,Excited,46,f,1,Ground,45,f,1,49427.4768253813,4.87896272367918E-8,52384.0627214667,2956.58589608538,15.3260869565217,18723071.8002029,0,rR2(45),Excited v=2 46 46 F2f - Ground v=0 45 45 F2f
LinearMolecule,Excited,45,e,2,Ground,44,e,2,49428.7413617829,4.81109001929866E-8,52383.7083603657,2954.96699858278,14.9959974546944,18723889.2578445,0,rR3(44),Excited v=2 45 46 F3e - Ground v=0 44 45 F3e
LinearMolecule,Excited,41,e,1,Ground,42,e,1,49522.0794001746,4.81430636289467E-7,51982.400974405,2460.32157423038,13.9957625667798,19268084.0811961,0,pP1(42),Excited v=2 41 40 F1e - Ground v=0 42 41 F1e
LinearMolecule,Excited,40,f,1,Ground,41,f,1,49522.6206013263,4.64588605916572E-7,51985.2816566667,2462.66105534036,13.6585365853658,19268745.8629422,0,pP2(41),Excited v=2 40 40 F2f - Ground v=0 41 41 F2f
LinearMolecule,Excited,39,e,2,Ground,40,e,2,49523.7446244112,4.56979944306515E-7,51984.7533684785,2461.00874406732,13.3288061060388,19280932.2184537,0,pP3(40),Excited v=2 39 40 F3e - Ground v=0 40 41 F3e
LinearMolecule,Excited,45,e,1,Ground,44,e,1,49540.6512563797,1.62064440716471E-7,52242.3863777677,2701.73512138796,14.9960620037643,18851434.8745947,0,rR1(44),Excited v=2 45 44 F1e - Ground v=0 44 43 F1e
LinearMolecule,Excited,44,f,1,Ground,43,f,1,49541.2903789756,1.56641635119386E-7,52245.3830166667,2704.09263769105,14.6590909090909,18842668.8994387,0,rR2(43),Excited v=2 44 44 F2f - Ground v=0 43 43 F2f
LinearMolecule,Excited,43,e,2,Ground,42,e,2,49542.5136180257,1.54321753378025E-7,52244.9706748518,2702.45705682617,14.329146412164,18843372.0224212,0,rR3(42),Excited v=2 43 44 F3e - Ground v=0 42 43 F3e
LinearMolecule,Excited,39,e,1,Ground,40,e,1,49631.1227667129,1.38368028424118E-6,51861.1319456548,2230.00917894193,13.3288876757262,19406738.7462641,0,pP1(40),Excited v=2 39 38 F1e - Ground v=0 40 39 F1e
LinearMolecule,Excited,38,f,1,Ground,39,f,1,49631.6240165204,1.33371897115027E-6,51863.9546574667,2232.33064094629,12.991452991453,19407334.9788177,0,pP2(39),Excited v=2 38 38 F2f - Ground v=0 39 39 F2f
LinearMolecule,Excited,37,e,2,Ground,38,e,2,49632.7068586962,1.31033388688331E-6,51863.3684051344,2230.66154643826,12.6619008174316,19420704.0607333,0,pP3(38),Excited v=2 37 38 F3e - Ground v=0 38 39 F3e
LinearMolecule,Excited,43,e,1,Ground,42,e,1,49649.1796154511,4.92900897449276E-7,52109.5011896815,2460.32157423038,14.3292167337371,18965437.7712597,0,rR1(42),Excited v=2 43 42 F1e - Ground v=0 42 41 F1e
LinearMolecule,Excited,42,f,1,Ground,41,f,1,49649.7787925263,4.75933364533271E-7,52112.4398478667,2462.66105534036,13.9920634920635,18955630.641678,0,rR2(41),Excited v=2 42 42 F2f - Ground v=0 41 41 F2f
LinearMolecule,Excited,41,e,2,Ground,40,e,2,49650.960786061,4.68413043899308E-7,52111.9695301283,2461.00874406732,13.6622771249795,18956205.6264655,0,rR3(40),Excited v=2 41 42 F3e - Ground v=0 40 41 F3e
