Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,A,8.5,e,1,X,9.5,e,2,31588.0190006074,1.47066301036352E-7,35461.697774,3873.67877339254,0.109540725608651,180465.306134628,0,oP12(9.5),A v=0 8.5  8 F1e - X v=0 9.5 10 F2e
LinearMolecule,A,7.5,e,1,X,8.5,e,2,31680.2872273905,8.797892660106E-7,35194.403546,3514.11631860951,0.116823109778163,218423.596593039,0,oP12(8.5),A v=0 7.5  7 F1e - X v=0 8.5  9 F2e
LinearMolecule,A,10.5,f,1,X,11.5,f,2,31746.3830844499,9.79021766978839E-8,36452.366414,4705.98332955014,3.94834387198047,5402546.19459618,0,pP2(11.5),A v=0 10.5 11 F2f - X v=0 11.5 12 F2f
LinearMolecule,A,6.5,e,1,X,7.5,e,2,31769.8763373197,4.45370043752837E-6,34959.652154,3189.77581668035,0.124830463546667,269006.369422011,0,oP12(7.5),A v=0 6.5  6 F1e - X v=0 7.5  8 F2e
LinearMolecule,A,11.5,e,1,X,12.5,e,1,31781.9232452049,1.28371100842434E-7,36454.677914,4672.75466879511,4.41448235748438,5555619.70677961,0,pP1(12.5),A v=0 11.5 11 F1e - X v=0 12.5 12 F1e
LinearMolecule,A,9.5,f,1,X,10.5,f,2,31813.9338787793,7.00938678295368E-7,36090.18935,4276.2554712207,3.59953788181751,5452457.85899126,0,pP2(10.5),A v=0 9.5 10 F2f - X v=0 10.5 11 F2f
LinearMolecule,A,10.5,e,1,X,10.5,f,2,31816.0443787793,6.19994846659017E-8,36092.29985,4276.2554712207,0.318386615860333,438524.756250484,0,pQ12(10.5),A v=0 10.5 10 F1e - X v=0 10.5 11 F2f
LinearMolecule,A,10.5,e,1,X,11.5,e,1,31851.6177188418,9.41520312089865E-7,36092.29985,4240.68213115816,4.07664331854657,5633755.05602942,0,pP1(11.5),A v=0 10.5 10 F1e - X v=0 11.5 11 F1e
LinearMolecule,A,5.5,e,1,X,6.5,e,2,31856.5960461329,1.8983843768254E-5,34757.78615,2901.19010386706,0.133322927386445,337944.313467429,0,oP12(6.5),A v=0 5.5  5 F1e - X v=0 6.5  7 F2e
LinearMolecule,A,8.5,f,1,X,9.5,f,2,31878.4806396293,4.21572123885591E-6,35759.23385,3880.75321037069,3.24839830579971,5500637.88517069,0,pP2(9.5),A v=0 8.5  9 F2f - X v=0 9.5 10 F2f
