wavenumbers,intensities
5.01557684009193E+0004,0.00000000000000E+0000
5.01732363427755E+0004,0.00000000000000E+0000
5.01732363427755E+0004,2.96010447627694E-0007
5.01732363427755E+0004,0.00000000000000E+0000
5.01738492530161E+0004,0.00000000000000E+0000
5.01738492530161E+0004,1.61538420925810E-0008
5.01738492530161E+0004,0.00000000000000E+0000
5.01747686183769E+0004,0.00000000000000E+0000
5.01747686183769E+0004,2.23104641047040E-0004
5.01747686183769E+0004,0.00000000000000E+0000
5.01753815286175E+0004,0.00000000000000E+0000
5.01753815286175E+0004,4.50779355044530E-0004
5.01753815286175E+0004,0.00000000000000E+0000
5.01769138042189E+0004,0.00000000000000E+0000
5.01769138042189E+0004,3.17625451572722E-0007
5.01769138042189E+0004,0.00000000000000E+0000
5.01885590987897E+0004,0.00000000000000E+0000
5.01885590987897E+0004,1.29814241511246E-0007
5.01885590987897E+0004,0.00000000000000E+0000
5.01900913743911E+0004,0.00000000000000E+0000
5.01900913743911E+0004,1.12982584953752E-0004
5.01900913743911E+0004,0.00000000000000E+0000
5.01903978295114E+0004,0.00000000000000E+0000
5.01903978295114E+0004,2.28251002437913E-0004
5.01903978295114E+0004,0.00000000000000E+0000
5.01919301051128E+0004,0.00000000000000E+0000
5.01919301051128E+0004,1.24046611163520E-0007
5.01919301051128E+0004,0.00000000000000E+0000
5.02192046108181E+0004,0.00000000000000E+0000
5.02192046108181E+0004,7.14619786898286E-0010
5.02192046108181E+0004,0.00000000000000E+0000
5.02455597511626E+0004,0.00000000000000E+0000
5.02455597511626E+0004,6.62158314949366E-0007
5.02455597511626E+0004,0.00000000000000E+0000
5.02470920267640E+0004,0.00000000000000E+0000
5.02470920267640E+0004,4.28976645638818E-0004
5.02470920267640E+0004,0.00000000000000E+0000
5.02477049370046E+0004,0.00000000000000E+0000
5.02477049370046E+0004,8.66765481566153E-0004
5.02477049370046E+0004,0.00000000000000E+0000
5.02492372126060E+0004,0.00000000000000E+0000
5.02492372126060E+0004,7.13983859628334E-0007
5.02492372126060E+0004,0.00000000000000E+0000
5.02596566866957E+0004,0.00000000000000E+0000
5.02596566866957E+0004,3.05969304020031E-0007
5.02596566866957E+0004,0.00000000000000E+0000
5.02611889622971E+0004,0.00000000000000E+0000
5.02611889622971E+0004,2.31390071446992E-0004
5.02611889622971E+0004,0.00000000000000E+0000
5.02618018725376E+0004,0.00000000000000E+0000
5.02618018725376E+0004,4.67499342487113E-0004
5.02618018725376E+0004,0.00000000000000E+0000
5.02633341481391E+0004,0.00000000000000E+0000
5.02633341481391E+0004,2.91227153512994E-0007
5.02633341481391E+0004,0.00000000000000E+0000
5.02893828333632E+0004,0.00000000000000E+0000
5.02893828333632E+0004,1.74060915511275E-0009
5.02893828333632E+0004,0.00000000000000E+0000
5.03126734225048E+0004,0.00000000000000E+0000
5.03126734225048E+0004,1.41009525795797E-0006
5.03126734225048E+0004,0.00000000000000E+0000
5.03142056981063E+0004,0.00000000000000E+0000
5.03142056981063E+0004,7.75382481875031E-0004
5.03142056981063E+0004,0.00000000000000E+0000
5.03148186083468E+0004,0.00000000000000E+0000
5.03148186083468E+0004,1.56704399465354E-0003
5.03148186083468E+0004,0.00000000000000E+0000
5.03154315185874E+0004,0.00000000000000E+0000
5.03154315185874E+0004,7.41553847692855E-0008
5.03154315185874E+0004,0.00000000000000E+0000
5.03160444288279E+0004,0.00000000000000E+0000
5.03160444288279E+0004,1.52919218987366E-0006
5.03160444288279E+0004,0.00000000000000E+0000
5.03258509926770E+0004,0.00000000000000E+0000
5.03258509926770E+0004,6.86214801524120E-0007
5.03258509926770E+0004,0.00000000000000E+0000
5.03273832682785E+0004,0.00000000000000E+0000
5.03273832682785E+0004,4.46152869421374E-0004
5.03273832682785E+0004,0.00000000000000E+0000
5.03276897233988E+0004,0.00000000000000E+0000
5.03276897233988E+0004,9.01495311847493E-0004
5.03276897233988E+0004,0.00000000000000E+0000
5.03292219990002E+0004,0.00000000000000E+0000
5.03292219990002E+0004,6.50192477413071E-0007
5.03292219990002E+0004,0.00000000000000E+0000
5.03543513188635E+0004,0.00000000000000E+0000
5.03543513188635E+0004,4.02094146873512E-0009
5.03543513188635E+0004,0.00000000000000E+0000
5.03745773568022E+0004,0.00000000000000E+0000
5.03745773568022E+0004,2.86166490350683E-0006
5.03745773568022E+0004,0.00000000000000E+0000
5.03761096324037E+0004,0.00000000000000E+0000
5.03761096324037E+0004,1.31626783640870E-0003
5.03761096324037E+0004,0.00000000000000E+0000
5.03764160875239E+0004,0.00000000000000E+0000
5.03764160875239E+0004,2.66065891417759E-0003
5.03764160875239E+0004,0.00000000000000E+0000
5.03779483631254E+0004,0.00000000000000E+0000
5.03779483631254E+0004,3.12459542859926E-0006
5.03779483631254E+0004,0.00000000000000E+0000
5.03782548182457E+0004,0.00000000000000E+0000
5.03782548182457E+0004,1.49402869062440E-0007
5.03782548182457E+0004,0.00000000000000E+0000
5.03865291064933E+0004,0.00000000000000E+0000
5.03865291064933E+0004,1.46577095480453E-0006
5.03865291064933E+0004,0.00000000000000E+0000
5.03880613820948E+0004,0.00000000000000E+0000
5.03880613820948E+0004,8.09219801357109E-0004
5.03880613820948E+0004,0.00000000000000E+0000
5.03883678372150E+0004,0.00000000000000E+0000
5.03883678372150E+0004,8.51756536320117E-0004
5.03883678372150E+0004,0.00000000000000E+0000
5.03886742923353E+0004,0.00000000000000E+0000
5.03886742923353E+0004,7.83557223145423E-0004
5.03886742923353E+0004,0.00000000000000E+0000
5.03899001128164E+0004,0.00000000000000E+0000
5.03899001128164E+0004,1.38148472717316E-0006
5.03899001128164E+0004,0.00000000000000E+0000
5.04141100673189E+0004,0.00000000000000E+0000
5.04141100673189E+0004,8.81070744297284E-0009
5.04141100673189E+0004,0.00000000000000E+0000
5.04312715540548E+0004,0.00000000000000E+0000
5.04312715540548E+0004,5.54184714357692E-0006
5.04312715540548E+0004,0.00000000000000E+0000
5.04328038296562E+0004,0.00000000000000E+0000
5.04328038296562E+0004,2.09510181466862E-0003
5.04328038296562E+0004,0.00000000000000E+0000
